Page Group,Sessions,Before_after,Long_short,Text,Type,input_1,input_2,Minimum,Maximum,Image,Items,ImageFramed,Timeout,ShowButtons,Input Name (if you want to save it)
[Scenario_Name],,,,"A continuación, verá una situación que podría provocarle ansiedad. Mientras lees el cuento, imagínate en esa situación. Después de imaginarse a sí mismo en la situación, haga clic en ""Siguiente"" y luego verá ejemplos de pensamientos, sentimientos y comportamientos que podrían ocurrir en esa situación. \n\nAlgunos de los pensamientos, sentimientos y comportamientos serán útiles y otros no.",,,,,,,,,,,
[Scenario_Name],,,,"El objetivo de este ejercicio es ayudarle a aprender que hay muchas reacciones diferentes que puede tener en una situación estresante y que no todos estos pensamientos, sentimientos y comportamientos tienen que ser negativos. \n\nDespués de ver algunos pensamientos, se le pedirá que escriba su propio ejemplo de un pensamiento útil que pueda tener en esa situación. Harás lo mismo con los sentimientos y comportamientos. \n\nLa misma situación se presentará varias veces. Esta repetición es intencionada para que puedas practicar pensar en la misma situación de muchas maneras diferentes. ",,,,,,,,,,,
[Scenario_Name],,,,Imagínese en la situación de la página siguiente.,,,,,,,,,,,
[Scenario_Name],,,, [Scenario_Description]\n\nHaga clic en Siguiente para ver algunas ideas.,,,,,,TRUE,,,,,
[Scenario_Name]:Pensamientos,,,,[Scenario_Description]\n\nAquí hay algunos pensamientos que pueden surgir en la mente:,,TimedText,,,,,,,,WhenCorrect,
[Scenario_Name]: Escribe Algunos Pensamientos,,,,"¡Ahora es tu oportunidad de ser creativo! ¿Qué podrías decirte a ti mismo para sentirte mejor en esta situación?  \n\nEn la página siguiente, tómate 30 segundos para escribir todos los pensamientos diferentes que puedas tener y que serían útiles en esta situación. Puedes usar los pensamientos que viste hace un momento como inspiración, o puedes enumerar cosas que te hayas dicho a ti mismo en el pasado y que te hayan ayudado. \n\n¿Qué podrías decirte a ti mismo en esta situación que te ayudaría a sentirte menos ansioso o a manejar tus sentimientos de ansiedad?\n\nPresiona regresar después de cada pensamiento para escribir uno nuevo en cada línea.",,,,,,,,,,,
[Scenario_Name]: Escribe Algunos Pensamientos,,,,[Scenario_Description]\n\nTómese 30 segundos para escribir pensamientos diferentes. El siguiente botón aparecerá automáticamente. \n\nPensamientos en el momento:,,Entry,,,,,,,30,,
[Scenario_Name]: Sentimientos,,,,¡Gran trabajo! Ahora verás algunos sentimientos.,,,,,,,,,,,
[Scenario_Name]: Sentimientos,,,,[Scenario_Description]\n\nAquí hay algunos sentimientos que pueden surgir en el momento:,,TimedText,,,,,,,,WhenCorrect,
[Scenario_Name]:  Escribe Alguno Sentimientos,,,,"¡Ahora tu intenta! ¿Cuáles son algunos de los sentimientos que podrías tener en este momento? Estos no tienen por qué ser solo sentimientos que haya tenido en el pasado o sentimientos negativos que supone que tendrá en el momento. Piense creativamente en los sentimientos positivos y negativos que puedan surgir como reacción a la situación. Si escribe un sentimiento negativo, intente escribir también cómo podría afrontarlo. \n\nEn la página siguiente, tómate 30 segundos para escribir tantos sentimientos diferentes que puedas imaginar tener en esta situación. Puedes ser tan creativo como tu quieras. Si escribes algún sentimiento negativo (como miedo o ansiedad), intenta escribir también cómo podrías ayudarte a sentirte mejor en ese momento.\n\nPresiona regresar después de cada sentimiento para escribir uno nuevo en cada línea. ",,,,,,,,,,,
[Scenario_Name]: Escribe Alguno Sentimientos,,,,[Scenario_Description]\n\nTómese 30 segundos para escribir diferentes sentimientos. El siguiente botón aparecerá automáticamente. \n\nSentimientos en el momento y cómo manejarías cualquier sentimiento negativo:,,Entry,,,,,,,30,,
[Scenario_Name]: Comportamientos,,,,¡Gran trabajo! Ahora verás algunos comportamientos.,,,,,,,,,,,
[Scenario_Name]: Comportamientos,,,,[Scenario_Description]\n\nA continuación se muestran algunos comportamientos que alguien podría realizar en ese momento o en el futuro:,,TimedText,,,,,,,,WhenCorrect,
[Scenario_Name]: Comportamientos,,,,"¡Tu turno! Ahora depende de usted escribir tantos comportamientos como pueda que puedan resultar útiles en ese momento. Recuerde, evitar o abandonar la situación puede hacerle sentir mejor en el momento, ¡pero en realidad empeora la ansiedad en el futuro! Trate de pensar en comportamientos que pueda realizar en el momento y que le permitan permanecer en la situación. ¿Qué podrías hacer en la situación que te permita superar la ansiedad?\n\nEn la página siguiente, tómate 30 segundos para escribir todos los comportamientos que podrías realizar en ese momento y que serían útiles y te harían sentir menos ansioso en el futuro. el futuro. ",,,,,,,,,,,
[Scenario_Name]: Comportamientos,,,,[Scenario_Description]\n\nTómese 30 segundos para escribir diferentes comportamientos. El siguiente botón aparecerá automáticamente.\n\nComportamientos que podrías realizar en este momento:,,Entry,,,,,,,30,,