Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Old Photo Link,New Photo Link,Spanish  positive/adaptive THOUGHT,Spanish  positive/adaptive THOUGHT,Spanish  negative/maladaptive THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  positive/adaptive FEELING,Spanish  positive/adaptive FEELING,Spanish  negative/maladaptive FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  positive/adaptive BEHAVIOR,Spanish  positive/adaptive BEHAVIOR,Spanish  negative/maladaptive BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR
Académicos/Trabajo/Desarrollo Profesional,,,Tarea importante,Tienes una tarea en el trabajo que debes entregar la próxima semana y que tu jefe y muchos de tus colegas van a ver. No se siente completamente cómodo con el material y le preocupa cómo resultará la tarea.,https://drive.google.com/file/d/16a8hUnBv5xMFnwyNlAhcDziF8O2B0G_h/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/assignment.jpg,Esta tarea irá bien.,Puedo pedir ayuda en la tarea.,Mis colegas pensarán que soy tonto si no lo hago bien.,"No entiendo el material lo suficiente como para realizar una buena tarea, pero creo que aun así lograré transmitir mi punto principal. ","Mis colegas probablemente no piensen que mi trabajo es perfecto, pero pueden brindarme comentarios constructivos que me ayudarán a mejorar para la próxima vez.",Me siento emocionado de demostrar que estoy equivocado.,Me siento listo para continuar con la tarea.,Me preocupa hacer la tarea y fallar.,"Me siento estúpido por pedir ayuda, pero sé que me ayudará a producir un mejor trabajo.","Me sentiré decepcionado de mí mismo si no hago un buen trabajo, pero ese sentimiento pasará. ",Reservaré tiempo todos los días para trabajar en la tarea.,Les haré preguntas a mis amigos con experiencia en esta área si no entiendo algo.,Fingiré estar enfermo en la fecha prevista para no tener que hacer la tarea.,"No quiero contarle a mi familia lo difícil que es esta tarea, pero decido contárselo de todos modos. ","Quiero trabajar en la tarea en lugar de irme a dormir por la noche, pero me doy cuenta de que es importante descansar. "
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Luchando con una presentación,"Durante la reunión de hoy, debes presentarte frente a tus colegas y a tu jefe. Ha estado luchando por armar esta presentación, pero aún no se ha comunicado con su jefe al respecto. ",https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation.jpg,Soy muy trabajadora y mi jefe podrá notarlo.,Mis colegas pensarán que me preparé bien para la presentación.,Mi trabajo estará en riesgo si estropeo esta presentación.,"No haré mi mejor esfuerzo hoy, pero a veces se me permite tener un día libre. ",Mi jefe pensará que mi presentación necesita mejoras y yo estaré de acuerdo con eso.,Me alegro de tener la conciencia de saber que necesito hablar pronto con mi jefe.,Me siento tranquilo sabiendo que hice lo mejor que pude sin importar lo que pase.,Me preocupa lo que dirá mi jefe sobre mi presentación.,"Me siento inseguro acerca de la calidad de mi presentación, pero nada de lo que haga será perfecto. ","Estoy incómodo en este momento, pero puedo respirar profundamente para sentirme más tranquilo. ",No me esconderé en mi oficina después de mi presentación.,Le preguntaré a mi jefe qué más puedo hacer para demostrar mis habilidades.,Me saltaré esta reunión mañana.,"Quiero evitar trabajar en la presentación, pero sé que progresar un poco me ayudará a sentirme realizado. ","Quiero preguntarles a mis colegas cómo piensan que lo hice, pero realmente no importa lo que piensen los demás.  "
Académicos/Trabajo/Desarrollo Profesional,Salud Mental,,Luchando con una presentación,"Durante la reunión de hoy, debes presentarte frente a tus colegas y a tu jefe. Ha estado luchando por armar esta presentación, pero aún no se ha comunicado con su jefe al respecto. ",https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation.jpg,Esta presentación será una buena oportunidad para practicar mis habilidades para hablar en público.,Mi jefe estará orgulloso de mí porque me estoy esforzando mucho.,Mis colegas se aburrirán y hablarán entre ellos durante mi presentación.,"Mi jefe se sentirá decepcionado por mis esfuerzos, pero aún puedo sentirme orgulloso del trabajo que realicé.  ","Puede que no haga lo mejor que pueda en esta presentación, pero la superaré. ",Me siento feliz de que la presentación termine pronto.,Me siento mejor sabiendo que mis compañeros están pasando por lo mismo que yo.,Tengo miedo de que mi progreso decepcione a mi jefe.,"Me da vergüenza pedirle ayuda a mi jefe, pero admiro mi confianza al exponerme. ","Me siento mal porque tal vez no me vaya tan bien en esta presentación, pero es sólo una pequeña parte de toda mi carrera profesional. ",Hago un chiste al inicio de mi presentación para romper el hielo.,Practico mi presentación.,Inventaré una excusa de por qué no me preparé lo suficiente para la presentación.,"Puede que me sienta molesto y quiera abandonar la reunión, pero respiro unas cuantas veces para calmarme. ","Quiero abandonar esta tarea, pero decido seguir intentándolo."
Situaciones Sociales,Académicos/Trabajo/Desarrollo Profesional,,Rompiendo el código de honor,"Estás trabajando en un informe con algunos colegas y necesitas informar algunas estadísticas. Un colega sugiere que cambie las estadísticas para que su informe se vea mejor, pero eso sería mentir.",https://drive.google.com/file/d/1wsTsWXkjfok0Sn3yNthn2D51nUUgPfAo/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/report_1.jpg,Quiero escribir este informe sin mentir.,La gente pensará que el informe es bueno.,Mis colegas se reirán de mí por decir que no quiero incluir números falsos.,"Mis colegas deciden cambiar las estadísticas, pero sé que puedo acudir a mi supervisor si me preocupa.","Mis colegas no querrán trabajar conmigo en otro informe, pero estoy orgulloso de mí mismo por hacer lo correcto. ",Me sentiré aliviado cuando este informe esté terminado.,Soy más feliz escribiendo este informe con mis colegas que cuando estoy solo.,Estoy un poco frustrado porque mi colega dijo que deberíamos inventar nuevas estadísticas.,"Me preocupa que mis compañeros se burlen de mí, pero si lo hacen, puedo soportarlo. ","Me preocupa mi desempeño en el informe, pero sé que estoy haciendo lo mejor que puedo. ",Decido que no inventaré las estadísticas.,Animo a mis colegas a que intenten trabajar un poco más en este informe.,Me meto con las estadísticas para sentirme tranquilo frente a mis compañeros.,"Quiero gritarles a mis compañeros por esta idea, pero decido decirles amablemente lo que pienso. ","Siento que quiero cambiar los números del informe, pero sé que realmente valoro ser honesto y no hacerlo. "
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Rompiendo el código de honor,"Estás trabajando en un informe con algunos colegas y necesitas informar algunas estadísticas. Un colega sugiere que cambie las estadísticas para que su informe se vea mejor, pero eso sería mentir.",https://drive.google.com/file/d/1uBmAkSPywjnsMSQJjho0yc00NRrf7zBz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/researching.jpg,Nuestros hallazgos son interesantes y valiosos por sí solos.,"Creo que es importante compartir esta información, incluso si los resultados son inesperados.",Daré una mala impresión delante de mi supervisor si no cambio los números.,"Puede que no haga la mejor presentación, pero lo único que puedo hacer es hacer lo mejor que pueda.","Puede que mi supervisor esté decepcionado con nuestros resultados, pero puedo manejarlo. ",Me sentiré más orgulloso de nuestro trabajo si no cambio nuestros resultados.,Tendré más confianza trabajando en proyectos en el futuro sabiendo que puedo interpretar datos reales de manera efectiva.,Estoy molesto porque mis compañeros de trabajo quieren que tome el camino más fácil.,"Me pone nervioso estar en desacuerdo con mis compañeros de trabajo, pero sé que es lo correcto","Me da vergüenza decirles a mis compañeros de trabajo que esto está mal, pero incluso si me juzgan, estaré bien. ",Sugiero armar la presentación sin cambiar los resultados.,Me entusiasma encontrar formas de presentar nuestros hallazgos de forma clara y eficaz.,Cambio nuestros resultados porque no tengo confianza en nuestro trabajo.,"Quiero cambiar nuestros resultados para terminar la presentación más rápido, pero sigo intentando trabajar con lo que tenemos. ","Estoy tentado a cambiar nuestros resultados, pero decido no hacerlo. "
Situaciones Sociales,Académicos/Trabajo/Desarrollo Profesional,,Trabajar en grupos,"Tu jefe les dice a todos que mañana os dividiréis en pequeños grupos para planificar nuevos proyectos de trabajo. También dice que tendrás que elegir tu grupo, pero te das cuenta de que no tienes amigos cercanos en tu lugar de trabajo.",https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation_2.jpg,Haré buenas contribuciones a la discusión del grupo.,La gente estará feliz de trabajar conmigo.,Todos elegirán su grupo antes de que yo llegue y no podré encontrar un grupo.,"Terminaré en un grupo de alguna manera y estará bien, incluso si no es mi primera opción.","Podría hacer un comentario que el grupo considere tonto, pero probablemente olvidarán lo que dije después de la discusión. ",Estoy emocionado de trabajar con gente nueva.,Tengo curiosidad por saber si haré nuevos amigos.,Me preocupa no entrar en un buen grupo.,"En este momento estoy ansioso por no saber quién estará en mi grupo, pero probablemente esto no parezca tan importante mañana.","Me pone nervioso hablar de nuevos proyectos con mis compañeros de trabajo, pero los nervios no me impiden hablar. ",Me aseguraré de saber qué proyectos me interesa planificar antes de la reunión de mañana.,"Durante la discusión, haré todo lo posible para incluir a todos en nuestra conversación grupal. ",Fingiré estar enfermo y simplemente no iré a la discusión.,"Querré saltearlo, pero iré de todos modos y afrontaré la sensación de ansiedad. ","Les pediré a otros que estén en su grupo, incluso si realmente no quiero. "
Situaciones Sociales,Académicos/Trabajo/Desarrollo Profesional,,Trabajar en grupos,"Tu jefe les dice a todos que mañana os dividiréis en pequeños grupos para planificar nuevos proyectos de trabajo. También dicen que tendrás que elegir tu grupo, pero te das cuenta de que no tienes amigos cercanos en tu lugar de trabajo.",https://drive.google.com/file/d/10fLWhto09ulpTOoQ_oICa06UK6vWzttW/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/presentation_2.jpg,Encontraré el grupo adecuado para mí.,Hay mucha gente agradable en mi lugar de trabajo.,Nadie querrá estar en mi grupo.,"Todos decidirán que quieren estar con personas que ya conocen, pero lo entiendo. ","Puede que la gente no esté de acuerdo con mis ideas, pero creo que aun así tendremos una discusión interesante. ",Me siento impulsado a hacer mi mejor trabajo.,Estoy emocionado de hacer nuevos amigos.,Estoy nervioso porque no tengo buenas ideas.,"Me entristece que nadie me conozca tan bien, pero me siento mejor pensando que les agradaré una vez que me conozcan mejor. ","Tengo miedo de que mi grupo me excluya, pero sepan que esta discusión sólo durará unos minutos. ",Hablaré con la gente de mi lugar de trabajo y pediré estar en un grupo.,Expresaré lo emocionado que estoy de conocer a todos.,Iré al baño para no tener que pedirle a nadie que esté en su grupo.,"Quiero trabajar solo, pero pruébalo en grupo. ","Quiero quedarme callado, pero decido contribuir. "
Situaciones Sociales,,,Café derramado,Tú y tus amigos se reúnen para tomar un café. Vas a la cafetería a tomar café y accidentalmente lo derramas en la parte delantera de tu nueva camisa blanca.,https://drive.google.com/file/d/1ijt0ecisBDCbnP9iQ5cHp7WQlGPwmTpO/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/coffee.jpg,Probablemente esto le haya pasado a mucha gente.,Mis amigos se divertirán con esto.,Pareceré torpe delante de mis amigos.,"Mis amigos se sienten avergonzados de mí, pero no lo recordarán por mucho tiempo.  ","Arruiné la camiseta, pero ahora tengo una razón para comprarme una nueva.",Me siento afortunada de no haber tirado todo el café.,Estoy seguro de que quitaré la mancha.,Me siento como un tonto.,"Estoy enojado porque desperdicié mi dinero, pero sepan que estaré bien. ","Me da vergüenza tener esta mancha en mi camisa blanca, pero nadie resultó herido y no es gran cosa. ",Me río con mis amigos por mi derrame.,Limpio y sigo hablando con mis amigos.,Me quedo en silencio el resto del tiempo que estamos en el café.,"Quiero ir a casa, pero quedarme en el café. ","Tengo ganas de llorar, pero respiro hondo. "
Situaciones Sociales,Vida Familiar y Doméstica,,Vidrio roto,"Estás en un restaurante tranquilo con muchos miembros de tu familia para cenar. Mientras tomas un trago de agua, accidentalmente dejas caer el vaso al suelo y se rompe.",https://drive.google.com/file/d/1huKsrt0vscJdYRLnIRD8v8_YgIjZl1Tm/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/brokenglass.jpg,Estoy seguro de que esta no es la primera vez que este restaurante tiene que lidiar con un vaso roto.,Pienso en cómo ayudaré a limpiar esto.,Soy una persona tan descuidada.,"Mi ropa está empapada, pero puedo ir al baño y secarla. ","El camarero está molesto, pero probablemente superará ese sentimiento pronto. ",Estoy seguro de que la camarera aceptará mis disculpas.,Estoy feliz de estar comiendo con mi familia.,Me da vergüenza haber llamado la atención sobre mí.," Siento que arruiné la velada, pero todos se olvidarán de los cristales rotos. ","Me siento culpable por haber roto un vaso, pero sé que no lo hice a propósito. ",Le pregunto si puedo ayudar a limpiar.,Pido disculpas a los camareros y les agradezco su ayuda.,"Cuando llega el camarero, culpo del derrame a otro miembro de la familia. ","Quiero llorar, pero respiro hondo y recuerdo que esto sucede. ","Quiero salir del restaurante, pero quedarme y pasar un buen rato. "
Situaciones Sociales,Vida Familiar y Doméstica,,Vidrio roto,"Estás en un restaurante tranquilo con muchos miembros de tu familia para cenar. Mientras tomas un trago de agua, accidentalmente dejas caer el vaso al suelo y se rompe.",https://drive.google.com/file/d/1huKsrt0vscJdYRLnIRD8v8_YgIjZl1Tm/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/brokenglass.jpg,Pienso en cómo todo el mundo a veces tiene momentos de torpeza.,La gente de mi familia ha dejado cosas en restaurantes en el pasado.,Mi familia debe estar avergonzada de mí.,"El camarero se irritará, pero me disculparé y me ofreceré a ayudar a limpiar.","Puede que mi familia esté molesta, pero puedo esperar hasta que sigan adelante. ",Puedo mantener la calma.,Me alegra que al camarero no parezca importarle mucho.,Tengo un nudo en el estómago después de que todo el restaurante me mirara.,"Me da vergüenza haber dejado caer el vaso, pero sé que a la gente se le caen cosas todo el tiempo. ","Me siento mal, pero recuerdo que me olvidaré de esto en unos días. ",Ofrezco dejar dinero extra para la propina.,Me ofrezco a hacer más turnos en mi trabajo y volver otro día con dinero para reemplazar el vidrio.,Lloro porque me siento fatal.,"No quiero volver nunca al restaurante, pero si mi familia quiere volver a comer aquí, estará bien.","Quiero llorar, pero decido que eso no sería de ayuda. "
Situaciones Sociales,,,Fiesta de Halloween,"Estás invitado a una fiesta de Halloween con tus compañeros de trabajo y allí solo estás cerca de un par de personas. Decides usar un disfraz. Cuando llegas, todos te miran. ",https://drive.google.com/file/d/1unPUQT6-D57bq5HZZFw0EFQbctkV94eC/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/halloween_1.jpg,Este es el mejor disfraz que he usado.,Estoy disfrutando usando esto.,Las otras personas me están juzgando por usar este disfraz.,"Realmente destaco, pero me gusta mi apariencia. ","Creo que cometí un gran error al usar esto, pero me doy cuenta de que está bien usar lo que quiero. ",Estoy emocionado de mostrar este disfraz.,Estoy orgulloso de mí mismo por usar algo que amo.,Me siento realmente incómodo mientras todos me miran fijamente.,"Estoy muy ansioso, pero este sentimiento pasará. ","Me preocupa que los demás se burlen de mí, pero si lo hacen, es su culpa por juzgarme. ",Me acerco a algunos amigos y comienzo una conversación.,Publicaré una foto mía con este disfraz porque me veo genial.,Dejaré la fiesta inmediatamente.,"Quiero cambiarme y ponerme otra cosa, pero decido usar lo que entré. ","Quiero tirar este disfraz y no volver a pensar en esta noche, pero luego recuerdo que mi amigo me felicitó antes por ello. "
Situaciones Sociales,,,Fiesta de Halloween,"Estás invitado a una fiesta de Halloween con tus compañeros de trabajo y allí solo estás cerca de un par de personas. Decides usar un disfraz. Cuando llegas, todos te miran. ",https://drive.google.com/file/d/1unPUQT6-D57bq5HZZFw0EFQbctkV94eC/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/halloween_1.jpg,Creo que este disfraz es divertido.,A todos les encantará este disfraz.,A nadie le gusta mi disfraz.,"Puede que haya usado algo demasiado loco, pero me gusta. ","Tal vez debería haberlo suavizado, pero sé que esto es cierto para mí. ",Me siento feliz usando lo que amo.,Me siento tan liberada usando algo tan divertido.,Me preocupa que otros se burlen de mí a mis espaldas.,"Me da mucha vergüenza destacar tanto, pero honestamente la gente lo olvidará en unos minutos. ","Me preocupa lo que piensen los demás, pero me doy cuenta de que puedo usar lo que me hace feliz.",Sonreiré y usaré mi atuendo con orgullo.,Empezaré a bailar porque hay buena música.,Quiero ir al baño y tratar de bajar el tono de lo que llevo puesto.,"Quiero empezar a llorar, pero luego recordarme que hice un gran trabajo con este disfraz. ","Quiero preguntarle a alguien si mi disfraz es demasiado, pero decido no pedir opiniones. "
Situaciones Sociales,,,Usando el baño,"Estás en un restaurante con unos amigos y vas al baño. Cuando regresas a la mesa en la que están tus amigos, dejan de hablar y se queda en silencio. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerrest.jpg,Me veía bien en el espejo al salir del baño.,Mi cabello luce genial hoy.,Debo parecer tonto.,"Crees que es posible que te hayan oído yendo al baño, pero recuerda que no es gran cosa. ","Puede que mis amigos hayan estado hablando de mí, pero eso no significa que estuvieran diciendo algo malo. ",Estoy muy feliz de pasar este tiempo con este grupo.,Estoy emocionado de escuchar de qué estaban hablando.,Me siento atacado porque todos me miran.,"Me preocupa que estuvieran hablando de mí, pero sé que lo más probable es que no. ","Estoy ansioso por lo que estaban diciendo, pero me doy cuenta de que probablemente están callados porque los asusté. ",Haré una broma con mis amigos.,Preguntaré de qué estaban hablando de una manera agradable.,Les preguntaré a la defensiva por qué están tan callados.,"Quiero volver al baño para siempre, pero sé que hablar con mis amigos me hará sentir mejor con toda la situación. ","Quiero irme de inmediato, pero volveré con mis amigos y me concentraré en disfrutar las partes buenas de la cena. "
Situaciones Sociales,,,Usando el baño,"Estás en un restaurante con unos amigos y vas al baño. Cuando regresas a la mesa en la que están tus amigos, dejan de hablar y se queda en silencio. ",https://drive.google.com/file/d/12Y4uqZNuPSg8HgswTCK3obdaz50gCnDn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dinnerrest.jpg,No esperaban que volviera tan pronto.,Todos deben estar notando mi nuevo atuendo.,Todo el mundo está chismeando sobre mí.,"Puede que tenga algo en mi ropa, pero puedo volver al baño y limpiarlo.","Puede que se lo hayan pasado bien sin mí, pero eso no significa que no disfruten ser mis amigos. ",Estoy agradecido por los amigos que tengo.,Estoy interesado en unirme a la conversación.,Me siento a la defensiva.,"Me preocupa que puedan oírme en el baño, pero recuerda que todos usan el baño, así que no es gran cosa.","Me siento incómodo estando cerca de ellos, pero sé que son mis amigos cercanos y empiezo a calmarme. ",Les sonreiré a todos.,Haré una broma para romper el hielo.,Les daré una mirada rara.,"Quiero regresar a casa temprano, pero decido quedarme tanto tiempo como los demás. ","Querré enviarles mensajes de texto a mi teléfono para evitar hablar con ellos, pero seguir interactuando con mis amigos. "
Salud Física,Académicos/Trabajo/Desarrollo Profesional,,Subiendo escaleras,"Te estás reuniendo con tu jefe. Para llegar a tiempo, simplemente subió dos tramos de escaleras rápidamente y sintió que su corazón latía muy rápidamente.",https://drive.google.com/file/d/1l0VcV571sh8CPMn2No5S-IgUUDRsgLq_/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/stairs_1.jpg,Estoy emocionado por la reunión.,Subí esas escaleras muy rápido.,¿Estoy sufriendo un infarto?,"Da miedo sentir mi corazón latiendo rápido, pero sé que todo terminará pronto. ",Mi jefe podría notar lo sin aliento que estoy y está bien si lo hace.,Estoy feliz de haber llegado a tiempo a la reunión.,Me siento emocionado ahora que mi sangre está bombeando.,Me preocupa que haya algo realmente mal en mí.,"Me da vergüenza quedarme sin aliento, pero puedo concentrarme en lo que mi jefe tiene que decir. ","Me preocupa que algo esté mal conmigo, pero me recuerdo a mí mismo que es normal sentirme sin aliento después de subir un montón de escaleras. ",Respiro profundamente unas cuantas veces.,Tomo unos sorbos de mi botella de agua.,Empiezo a buscar síntomas de un ataque cardíaco en línea para ver si me estoy muriendo.,"Siento la necesidad de decirle a mi jefe que algo anda realmente mal conmigo, pero recordarme a mí mismo que en realidad estoy bien. ","Quiero entrar en pánico, pero recuerdo que en realidad es solo la reacción de mi cuerpo al subir las escaleras rápidamente. "
