Broad Domain 1,Broad Domain 2,Broad Domain 3,Hoos TC Title,Spanish scenario body,Old Photo Link,New Photo Link,Spanish  positive/adaptive THOUGHT,Spanish  positive/adaptive THOUGHT,Spanish  negative/maladaptive THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  tolerating negative or resilience THOUGHT,Spanish  positive/adaptive FEELING,Spanish  positive/adaptive FEELING,Spanish  negative/maladaptive FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  tolerating negative or resilience FEELING,Spanish  positive/adaptive BEHAVIOR,Spanish  positive/adaptive BEHAVIOR,Spanish  negative/maladaptive BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR,Spanish  tolerating negative or resilience BEHAVIOR
Situaciones Sociales,,,amigo ruidoso,"Tu auto se averió y un amigo te va a dejar en una reunión. Cuando te dejan, hacen mucho ruido y todos los que están allí te miran. ",https://drive.google.com/file/d/1jDatwDu8A0ycAjbu28oNvOiBJQLU-lnx/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/dropoff.jpg,Fue agradable no tener que tomar el autobús.,Pienso en lo que quiero hablar en la reunión de hoy.,Esta gente me juzgará porque mi amigo es molesto.,"Mucha gente notó el ruido que hicimos y tal vez se molestó, pero fue sólo por un momento y no fue gran cosa. ","Algunas personas probablemente piensen que mi amigo es grosero, pero no puedo controlar lo que hace ni cómo se siente la gente. ",Estoy lleno de energía porque esta reunión suele ser interesante.,Estoy feliz de tener amigos que están dispuestos a ayudarme.,Me avergüenza que mi amigo sea tan ruidoso.,"Estoy realmente avergonzado, pero recuerdo que puedo tolerar estos sentimientos y que pasarán rápidamente. ",Me siento enojado con mi amigo pero me recuerdo a mí mismo que me está haciendo un favor.,Empiezo a sacar mis notas para la reunión.,Le sonrío a mi amigo mientras salgo del auto.,Evito hacer contacto visual con la gente.,"Siento la necesidad de saltarme la reunión, pero me obligo a enfrentar mis miedos y entrar. ","Quiero seguir disculpándome con las personas en la reunión hasta estar seguro de que no están enojados, pero decido que una vez es suficiente. "
Vida Familiar y Doméstica,Situaciones Sociales,,Opiniones fuertes,"Los miembros de tu familia tienen opiniones firmes y tú no siempre estás de acuerdo con ellas. Una noche, invitas a un amigo a cenar. ",https://drive.google.com/file/d/1KeHog1u5MnwSfzyD9yBj4oIlp2YAyHwf/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/pizza.jpg,Aprecio tener puntos de vista diferentes a los de mi familia.,Mi amigo estará interesado en escuchar lo que mi familia tiene que decir.,Mi familia va a decir algo que me molesta.,"Si mi familia dice algo con lo que no estoy de acuerdo, mi amigo y yo siempre podemos hablar de ello más tarde. ","Si mi amigo no está de acuerdo con las perspectivas de los miembros de mi familia, igual querrá ser mi amigo.",Estoy tranquilo sentado a cenar con mi familia y mi amigo.,Estoy emocionado de ver una película con mi amigo después de comer.,Estoy ansioso por lo que puedan decir los miembros de mi familia.,"Me preocupa que mi familia diga algo que haga que no le agrade a mi amigo, pero tengo más confianza en la fuerza de nuestra amistad. ","Me avergüenza que mi familia tenga un punto de vista tan diferente al mío, pero recuerdo que todos tenemos creencias diferentes.",Me recuerdo a mí mismo que todos tienen opiniones diferentes.,Escucho a mi amigo mientras habla con los miembros de mi familia.,Me distraigo y dejo de prestar atención a lo que dice la gente.,"Quiero pensar en otra cosa mientras todos hablan, pero recordarme a mí mismo que puedo manejar mis sentimientos y volver a sintonizarme con la conversación.","Quiero cambiar de tema para que podamos hablar de algo menos serio, pero dejo de intentar controlar la conversación."
Situaciones Sociales,Vida Familiar y Doméstica,,Opiniones fuertes,"Tu pareja tiene opiniones firmes y no siempre estás de acuerdo con ellas. Una noche, invitas a un amigo a cenar y sientes una posible tensión. ",https://drive.google.com/file/d/1KeHog1u5MnwSfzyD9yBj4oIlp2YAyHwf/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/pizza.jpg,Podremos discutir cuidadosamente las diferentes opiniones.,Mi amigo será mi amigo sin importar lo que piense mi pareja.,Mi pareja dirá algo que hará que mi amigo me odie.,"Incluso si mi pareja dice algo que le molesta, mi amigo y yo podemos hablar de ello más tarde.","Si mi pareja dice cosas con las que no estoy de acuerdo, sigue siendo mi pareja y la amo. ",Estoy feliz de invitar a mi amigo a cenar.,Estoy tranquilo mientras nos sentamos y cenamos juntos.,Me preocupa que mi pareja diga algo vergonzoso.,"Tengo miedo de que mi pareja diga algo ofensivo, pero sé que lo que dice no es un reflejo de mí. ","Me preocupa que mi amigo me juzgue por lo que piensa mi pareja, pero aun así estoy feliz de que podamos reunirnos y hablar de ello. ",Sonrío mientras mi amigo y mi compañero hablan.,Practico escuchar atentamente con la mente abierta.,Le digo bruscamente a mi compañero y le digo que se calle.,"Empiezo a decirle a mi pareja que no diga nada vergonzoso delante de mi amigo, sino que respire hondo. ","Empiezo a enviar un mensaje de texto para cancelar la cena, pero me recuerdo a mí mismo que realmente quiero que mi amigo y mi pareja se conozcan."
Vida Familiar y Doméstica,Salud Mental,,araña perdida,"Cuando entras a la ducha, ves una enorme araña en la pared. Te das la vuelta por un segundo, miras hacia atrás y te das cuenta de que ya no está. ",https://drive.google.com/file/d/1EUMVkI6asoBt7l80JfW7XQ4KWT27fZDe/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/shower.jpg,Me alegro que se haya ido.,Creo que volvió a su casa.,¡Se me va a arrastrar encima!,"Pienso en cómo podría morderme, pero recuerdo que probablemente esté tratando de evitarme a mí y al agua.","Pienso que podría ser venenoso, pero me doy cuenta de que las posibilidades de que ocurra son escasas. ",Tengo curiosidad por saber adónde fue.,Estoy tranquilo mientras me meto en la ducha.,Tengo miedo de que la araña aparezca cuando menos lo espere.,"Estoy ansioso por meterme en la ducha, pero sé que puedo superar mi miedo. ","Me da asco, pero recuerdo que la araña probablemente no pueda hacerme daño. ",Decido abrir el agua.,Empiezo a tocar algo de música.,Grito y salgo corriendo.,"Quiero llamar a alguien para que me ayude a encontrar la araña, pero decido simplemente ducharme. ","Quiero rociar repelente de insectos en todas partes, pero decido continuar con mi rutina de ducha ya que el rociador podría hacer más daño que la araña."
Salud Mental,Vida Familiar y Doméstica,,Maquinas apagadas,"Tú y tu familia van a salir de la ciudad por unos días y tu pareja te pide que revises que todos los electrodomésticos de tu casa estén apagados antes de partir. Tenías que apresurarte a hacer las maletas, así que no pudiste comprobarlo todo. ",https://drive.google.com/file/d/1AaGI8KuAaJfPPgwkXSBsNDbxRKhSAluM/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/appliances.jpg,Pienso en todas las cosas divertidas que mi familia y yo haremos en nuestro viaje.,Pienso en cómo noté que todo estaba apagado durante la primera revisión.,Pienso en todas las cosas horribles que podrían pasar en la casa.,"Incluso si no estoy 100% seguro de que los electrodomésticos estén apagados, puedo vivir con eso. ","Aunque no pude comprobarlo completamente por segunda vez antes de que todos nos fuéramos, recuerdo que nunca antes había dejado los electrodomésticos encendidos al salir de casa. ",Estoy seguro de que todo estaba cerrado.,Me siento emocionado por el viaje.,Me preocupa que se haya dejado algún electrodoméstico encendido.,Tengo miedo de haberme perdido algo y luego me concentro suavemente en lo que está sucediendo en el auto.,"Me siento culpable por no volver a comprobarlo todo, pero me recuerdo a mí mismo que comprobarlo una vez fue suficiente.",Empiezo a planificar algunas actividades que podemos hacer en nuestro viaje.,Me concentro en mi conversación con mi familia.,Regreso a la casa para asegurarme de haber apagado todo.,"Quiero volver y comprobarlo, pero sé que eso empeorará mi ansiedad en el futuro.","Quiero llorar pensando en lo ansiosa que me siento, pero sé que este sentimiento no durará para siempre. "
Salud Mental,Vida Familiar y Doméstica,,Maquinas apagadas,"Tú y tu familia van a salir de la ciudad por unos días y tu pareja te pide que revises que todos los electrodomésticos de tu casa estén apagados antes de partir. Tenías que apresurarte a hacer las maletas, así que no pudiste comprobarlo todo. ",https://drive.google.com/file/d/1AaGI8KuAaJfPPgwkXSBsNDbxRKhSAluM/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/appliances.jpg,Pienso en que todo está bien.,Pienso en lo emocionado que estoy por nuestro viaje.,Pienso en que puede pasar algo malo porque no revisé bien los electrodomésticos.,"Me preocupa que tener pensamientos sobre cosas terribles que suceden haga que sea más probable que ocurran, pero me recuerdo a mí mismo que eso no es cierto.","Es posible que un electrodoméstico provoque un incendio, pero es bastante improbable. Incluso si sucediera, nuestra alarma contra incendios alertaría a los vecinos. ",Estoy satisfecho de haber revisado los electrodomésticos que pude al salir.,Me siento tranquilo ahora que estoy en el auto y saliendo de la ciudad con mi familia.,Tengo miedo de que nuestra casa se queme.,"Me siento miserable preocupándome por si todo está mal, pero recuerdo concentrarme en el presente y respirar profundamente.","Me preocupa que la casa se queme, pero sé que puedo tolerar este sentimiento y pasará. ",Hablo con mi familia sobre lo que vamos a hacer en nuestro viaje.,Recordaré que no tengo que revisar todos los electrodomésticos varias veces antes de irnos.,Me concentro en todo lo que podría salir mal porque no tuve tiempo de comprobarlo.,"Quiero preguntarle a mi pareja si cree que todos los electrodomésticos están apagados, pero decido hablar sobre las partes del viaje que espero con ansias.       ","Quiero enojarme por la situación, pero decido charlar con mi familia. "
Vida Familiar y Doméstica,,,Niñera,Estás cuidando al hijo de una amiga y miras televisión mientras ella duerme. Afuera está oscuro y de repente oyes ruidos contra la ventana.,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/window.jpg,Creo que debe ser el viento.,Pienso en que hay muchos animales afuera en este momento.,Pienso en cómo alguien podría estar intentando entrar.,"Aunque mi cerebro automáticamente piensa en el peor de los casos, me recuerdo a mí mismo que probablemente estoy a salvo.","Me doy cuenta de que estoy asumiendo que va a pasar lo peor y recuerdo que, en realidad, todo estará bien. ",Estoy feliz de ayudar a mi amigo cuidando de su hijo.,Estoy cansada y tengo muchas ganas de irme a la cama.,Tengo miedo de no saber qué hizo ese ruido.,"Me siento aterrorizado, pero me doy cuenta de que mi cerebro está siendo muy imaginativo.","Me preocupa lo que hay afuera, pero recuerdo que probablemente fue el viento.",Saco un libro nuevo y empiezo a leer.,Preparo unas palomitas de maíz y enciendo la televisión.,Llamo al amigo para que vuelva a casa inmediatamente.,"Quiero salir de casa, pero decido quedarme. ","Quiero despertar al niño y preguntarle si escucha algo, pero en lugar de eso dejo pasar mi ansiedad. "
Vida Familiar y Doméstica,,,Niñera,Estás cuidando al hijo de una amiga y miras televisión mientras ella duerme. Afuera está oscuro y de repente oyes ruidos contra la ventana.,https://drive.google.com/file/d/11Vs9sz9BDAkaj5QCxD927t-mz-VTFWXn/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/window.jpg,Hay muchos ruidos por la noche.,"Por la noche es más tranquilo, por lo que es más fácil escuchar muchas cosas. ",Me pregunto si estoy en peligro.,"Mi cerebro inmediatamente piensa que hay algo peligroso afuera, pero me recuerdo a mí mismo que probablemente estoy a salvo. ","Me imagino algo tratando de atraparme, pero luego me digo que lo más probable es que haya sido el viento en la ventana. ",Estoy emocionado de ver a mi amigo y escuchar sobre su noche de fiesta.,Estoy feliz de que mi programa favorito esté en la televisión.,Me preocupa que algo esté mirando por la ventana.,"Tiene sentido que al principio tuviera miedo, pero recuérdeme que probablemente esté a salvo.","Mi corazón late un poco más rápido que antes de escuchar el ruido, pero sé que pronto volverá a la normalidad. ",Puse una película divertida.,Decido tocar algo de mi música favorita.,Llamo a mi pareja y empiezo a llorar.,"Siento la necesidad de esconderme, pero me digo a mí mismo que probablemente no fue nada afuera.","Quiero llamar a mi amigo para que regrese pronto a casa, pero decirme a mí mismo que puedo enfrentar mi miedo y que la ansiedad desaparecerá."
Salud Física,Salud Mental,,Serpientes en el parque,Tu amigo te convence para dar un paseo por un parque local. Has oído que hay serpientes venenosas en ese parque.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/park_1.jpg,Tengo muchas ganas de hablar con mi amigo.,Será agradable caminar por el parque.,¡Me va a morder una serpiente!,"Aunque he oído que puede haber serpientes en el parque, creo que es poco probable que vea una. ","Realmente no tengo muchas ganas de ir al parque que podría tener serpientes, pero sé que puedo tolerar mis sentimientos de ansiedad.",Estoy feliz de que mi amigo me haya pedido que saliéramos a caminar.,Estoy tranquila pensando en ir al parque.,Tengo miedo de que me pase algo malo.,"Me da ansiedad que me muerdan, pero recuerdo que ese es el peor de los casos y que probablemente no sucederá.","Estoy preocupado por lo que veremos en el parque, pero sé que puedo soportar sentirme un poco preocupado.",Le digo a mi amigo que estoy listo para partir.,Me pongo una chaqueta y salgo.,Llamo a mi amigo y le digo que de repente estoy ocupado.,"Quiero decirle a mi amigo que no puedo ir, pero me esfuerzo por ir al parque de todos modos. ","Pienso en decirle a mi amigo que deberíamos ir a caminar a otro lugar, pero decido que estará bien si caminamos por el parque."
Salud Física,Salud Mental,,Serpientes en el parque,Tu amigo te convence para dar un paseo por un parque local. Has oído que hay serpientes venenosas en ese parque.,https://drive.google.com/file/d/1rfdNbyue77FhReHqNOVYVUC1cUTvMa-9/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/park_1.jpg,El clima es realmente agradable.,Me gusta hablar con este amigo.,Voy a morir si me muerde una serpiente.,"Aunque me incomoda pensar en las serpientes en el parque, sé que puedo ir al parque de todos modos. ","Pienso en decirle a mi amigo que he cambiado de opinión, pero voy con él de todos modos. ",Estoy emocionado de ponerme al día con mi amigo.,Estoy ansioso por contarle a mi amigo lo que pasó hoy en el trabajo.,Me preocupa mucho ver una serpiente.,"Tengo miedo de ir al parque, pero luego me doy cuenta de que nunca he oído que alguien haya sido mordido en ese parque. ","Estoy ansioso pensando en que me muerda una serpiente, pero sepan que estaré bien en esta caminata.",Me pongo los zapatos y salgo por la puerta.,Me encuentro con mi amigo en la entrada del parque.,Le digo a mi amigo que no me siento bien y que no puedo ir.,"Quiero evitar ir al parque, pero desafiarme a ir. ","Considero abandonar a mi amigo, pero me obligo a seguir caminando de todos modos. "
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Respondiendo una pregunta,"En una reunión con algunos colegas y su jefe, su jefe le pide que responda una pregunta. Dices tu mejor respuesta y tus compañeros de trabajo guardan silencio.",https://drive.google.com/file/d/1MIRt_i8n5z7nk9CNWYXVsQ6oMzfE70xz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/unusual.jpg,Mi respuesta fue reflexiva.,Fue agradable poder compartir lo que pienso.,Mis compañeros de trabajo están juzgando mi respuesta.,"Mi respuesta me pareció tonta porque no entendí la pregunta, pero nadie se acordará mañana.","No comuniqué mi punto tan bien como me hubiera gustado esta vez, pero sé que tendré más oportunidades de hablar en el futuro.",Me alegra que mi jefe me haya dado la oportunidad de compartir mi respuesta.,Estoy satisfecho con la forma en que expresé mi respuesta.,me asusté al contestar,"Estoy decepcionado conmigo mismo porque no pude decir lo que quería decir, pero creo que mi jefe entendió mi punto. ","Estaba muy ansiosa mientras respondía, pero pude controlar mis sentimientos.",Sonrío y me siento.,Me aseguraré de estar más preparado antes de la próxima reunión.,No volveré a hablar en las reuniones.,"Siento que debería contar una broma para que mis compañeros de trabajo se olviden de mi respuesta, pero no lo hacen.","Quiero llorar, pero me tomo un momento para calmarme y concentrarme en la siguiente pregunta. "
Académicos/Trabajo/Desarrollo Profesional,Situaciones Sociales,,Respondiendo una pregunta,"En una reunión con algunos colegas y su jefe, su jefe le pide que responda una pregunta. Dices tu mejor respuesta y tus compañeros guardan silencio.",https://drive.google.com/file/d/1MIRt_i8n5z7nk9CNWYXVsQ6oMzfE70xz/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/unusual.jpg,Mi respuesta fue inteligente.,Estoy feliz de haber podido hablar en mi reunión.,Todos piensan que mi respuesta es incorrecta.,"Puede que mi respuesta no haya sido correcta, pero está bien. ","Lo que dije no fue perfecto, pero mis colegas probablemente no lo notaron. ",Me alegra que mis compañeros de trabajo puedan escuchar mi respuesta.,Me siento inteligente acerca de cómo navegué por la pregunta.,Me sentí cohibido al responder.,"Me avergüenza que mi respuesta haya sonado mal, pero todo el mundo tiene momentos así. ","Me entristeció no poder dar una mejor respuesta, pero siempre hay una próxima vez. ",Tomo notas de la respuesta de mi jefe a mi respuesta.,Me relajo después de decir mi respuesta.,Salgo de la reunión y voy al baño para evitar a mis compañeros.,"Quiero disculparme por mi mala respuesta, pero no lo hago.","Quiero taparme la cara, pero decido mirar a mi jefe. "
Académicos/Trabajo/Desarrollo Profesional,,,haciendo lo mejor que puedas,"Vas a presentar tu progreso en un proyecto a tu jefe la próxima semana. Tu vida personal ha sido agitada últimamente y no has tenido mucho tiempo para dedicarle al proyecto, lo que te deja con menos actualizaciones que informar de lo habitual.",https://drive.google.com/file/d/1t-026y6XP-pi4gVvjftcxLh5fk0RnpcL/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/progressreport.jpg,Soy un buen empleado.,Haré lo mejor que pueda para progresar la próxima semana.,Me da pereza no trabajar más.,"Puede que mi jefe no esté impresionado con mi progreso, pero puedo progresar más la próxima vez.","Incluso si obtengo un mal desempeño en un informe de progreso, eso no significa que perderé mi trabajo. ",Estoy seguro de que puedo contarle a mi jefe lo que ha estado pasando.,Me siento bien con cómo me ha ido en este trabajo hasta ahora.,Tengo miedo de que mi jefe se sienta decepcionado de mí.,"Me da vergüenza presentarle mi trabajo a mi jefe, pero ese sentimiento pasará. ","Estoy nervioso por la presentación, pero podré manejarlo. ",Le diré a mi jefe por qué no he podido avanzar mucho.,Le diré a mi jefe por qué no he podido avanzar mucho.,Evitaré trabajar en el informe cuando me sienta ansioso.,"Quiero evitar pedir ayuda, pero de todos modos me comunico con mi jefe.","Realmente no quiero trabajar horas extra, pero lo haré de todos modos porque sé que será útil para el informe. "
Situaciones Sociales,,,Sentado en el autobús,Estás sentado en el autobús y ves subir a tu amigo. Pasan junto a ti y se sientan con otro amigo.,https://drive.google.com/file/d/1jV1VtMwZ0-4W-NqPIDF35GXXbAIeBiM8/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bus2.jpg,Puedo sentarme aquí solo por el resto del viaje.,Probablemente mi amigo tenía algo de qué hablar con el otro amigo.,Mi amigo pasó junto a mí a propósito.,"Siento que mi amigo está enojado conmigo, pero habría dicho algo. ","Realmente no me gusta sentarme sola, pero sé que puedo soportar este corto viaje en autobús. ",Estoy emocionado de ver a mis otros amigos y colegas en el trabajo hoy.,Me alegra que sea un corto viaje en autobús.,Estoy molesto con mi amigo en este momento.,"Tengo miedo de que la gente me juzgue, pero recuerdo que mucha gente viaja sola en el autobús.","Me preocupa saber por qué mi amigo pasó junto a mí, pero puedo preguntarle al respecto más tarde.",Llamo a mi amigo y sonrío.,Saco un libro y leo hasta llegar a mi parada.,Empiezo a llorar.,"Querré ignorar a mi amigo el resto del día, pero decido hablar con él.","Quiero poner mi cabeza entre mis rodillas y desaparecer, pero respiro hondo y sonrío. "
Situaciones Sociales,,,Sentado en el autobús,Estás sentado en el autobús y ves subir a tu amigo. Pasan junto a ti y se sientan con otro amigo.,https://drive.google.com/file/d/1jV1VtMwZ0-4W-NqPIDF35GXXbAIeBiM8/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/bus2.jpg,Pienso en cómo disfruto pasar tiempo solo durante mi viaje.,Tal vez no hayan tenido la oportunidad de ponerse al día en mucho tiempo.,Mi amigo no me considera su amigo.,"Me siento excluido, pero sé que hay veces que no todos pueden ser incluidos. ","Preferiría tener a mi amigo a mi lado en este viaje en autobús, pero eso no siempre es posible. ",Soy valiente por sentarme solo.,Estoy feliz de que mis amigos estén felices.,Me siento enojado con mi amigo por no sentarse conmigo.,"Me molesta que mi amigo no quiera sentarse conmigo, pero sé que esta situación pasará.","Me molesta pensar que mi amigo está enojado conmigo, pero sé que no debo asumir lo peor.",Saludo a mi amigo cuando pasan.,Empiezo a escribir un diario en mi cuaderno.,Me pongo nervioso y me alejo más de mi amigo.,"Quiero enojarme y sacar el tema tan pronto como nos bajemos del autobús, pero sé que eso no está bien así que le doy algo de tiempo a mi amigo. ","Quiero hablar de esto con mis otros amigos, pero decido guardármelo para mí. "
Situaciones Sociales,,,Granizado derramado,Tú y tus amigos están saliendo a cenar. Llegan tus alimentos y bebidas y accidentalmente derramas tu bebida en la parte delantera de tu nueva camisa blanca.,https://drive.google.com/file/d/16jJWf3eLYQiWH3-6BkyLghQMMaNLxJay/view?usp=sharing,https://raw.githubusercontent.com/TeachmanLab/MindtrailsMobile_Resources/main/HTC/protocols/Spanish/media/images/spill.jpg,Pienso en que este es un accidente común.,Pienso en cómo será una historia divertida.,Creo que quedaré tonto delante de todos.,"Siento que estoy molestando a mis amigos en este momento, pero ellos entenderán que los accidentes ocurren.","Siento que estoy provocando una escena, pero las otras personas aquí no me conocen ni les importa esta situación. ",Me siento tonto y decido reírme de ello.,Me alegro de que esta sea una camisa vieja.,Me siento avergonzado y me dan ganas de irme del centro comercial.,"Estoy muy molesto conmigo mismo, pero puedo superar este sentimiento. ","Me da vergüenza esta mancha, pero a nadie más le importará. ","Limpio la bebida, sonrío y sigo comiendo con mis amigos. ",Me río y pido otra bebida.,Tengo ganas de llorar y salgo del restaurante.,"Quiero irme inmediatamente, pero sé que pronto me olvidaré de la mancha. ","Quiero tirar la comida e irme, pero limpio y sigo comiendo. "
